FEEDSTUFF,Edible_Mass,Total_Protein,Total_Energy_Lactating,Total_Energy_Gain,Total_Energy_Maintenance,Total_Fiber,EE,ASH,Ca,P,K,Cl,S,Zn ppm,Cattle,Sheep,Goat,Rabbit,Horse,Fish,Poultry
RYE GRAIN,0.89,0.30260000000000004,1.5387,1.2984,1.5654,0.5785,0.022250000000000002,0.026699999999999998,0.0006230000000000001,0.004895000000000001,0.00445,0.0801,0.0801,0.2937,1.0,1.0,0.0,0.0,0.0,0.0,1.0
"SAFFLOWER MEAL, SOLV. EXT.",0.91,0.2184,1.0696,0.7693000000000001,1.0696,1.5197,0.011830000000000002,0.0546,0.003185,0.007189000000000001,0.008190000000000001,0.3731,0.3731,0.5915,1.0,0.0,0.0,0.0,0.0,1.0,1.0
"SAFFLOWER MEAL DEHULLED, SOLV. EXT.",0.91,0.42769999999999997,1.4506999999999999,1.205,1.4689,0.8008000000000001,0.00728,0.0637,0.003458,0.01365,0.010920000000000001,0.18200000000000002,0.18200000000000002,0.3276,1.0,0.0,0.0,0.0,0.0,1.0,1.0
SAFFLOWER HULLS,0.91,0.0364,0.4494,0.14,0.4585,2.9211,0.033670000000000005,0.0182,0.0,0.0,0.0,0.6643,0.6643,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
SAGEBRUSH FRESH,0.5,0.065,0.745,0.56,0.75,0.465,0.046,0.05,0.005,0.00125,0.0,0.15,0.15,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
WHEAT GRAIN,0.89,0.3293,1.6899000000000002,1.4585,1.7522,0.1691,0.02047,0.0178,0.00044500000000000003,0.003827,0.0035600000000000002,0.0356,0.0356,0.35600000000000004,1.0,1.0,0.0,0.0,0.0,0.0,1.0
WHEAT GRAIN HARD,0.89,0.37379999999999997,1.6899000000000002,1.4585,1.7522,0.20470000000000002,0.0178,0.0178,0.00044500000000000003,0.003827,0.00445,0.053399999999999996,0.053399999999999996,0.4005,1.0,1.0,0.0,0.0,0.0,0.0,1.0
SANFOIN HAY,0.88,0.6512,1.1556,0.8828,1.1556,0.2112,0.02728,0.07919999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
SHRIMP WASTE MEAL,0.9,0.9900000000000001,0.903,0.5609999999999999,0.9119999999999999,0.099,0.0495,0.225,0.07650000000000001,0.015750000000000004,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
SORGHUM STOVER,0.87,0.043500000000000004,1.0098,0.7140000000000001,1.0098,2.0793,0.01566,0.08700000000000001,0.00435,0.001044,0.01044,0.35669999999999996,0.35669999999999996,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
