FEEDSTUFF,Edible_Mass,Total_Protein,Total_Energy_Lactating,Total_Energy_Gain,Total_Energy_Maintenance,Total_Fiber,EE,ASH,Ca,P,K,Cl,S,Zn ppm,Cattle,Sheep,Goat,Rabbit,Horse,Fish,Poultry
ALFALFA STEMS,0.89,0.48950000000000005,0.8794,0.5323,0.8883,2.3407,0.01157,0.053399999999999996,0.008010000000000001,0.001602,0.022250000000000002,0.4539,0.4539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALMOND HULLS,0.89,0.5607,1.0584000000000002,0.7647,1.0584000000000002,1.6109,0.02759,0.06230000000000001,0.002136,0.0008900000000000001,0.0178,0.2581,0.2581,0.17800000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APPLES,0.17,0.0221,0.8207,0.7747999999999999,0.8240999999999999,0.08670000000000001,0.0037400000000000007,0.0034000000000000002,0.000102,0.00102,0.00136,0.015300000000000001,0.015300000000000001,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
APPLE POMACE WET,0.2,0.03,0.8180000000000001,0.762,0.8200000000000001,0.21600000000000003,0.010400000000000001,0.006,0.00026,0.00023999999999999998,0.001,0.054000000000000006,0.054000000000000006,0.022000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,1.0
APPLE POMACE DRIED,0.89,0.17800000000000002,1.2752000000000001,1.026,1.2841,1.0056999999999998,0.04628,0.026699999999999998,0.001157,0.001068,0.00445,0.24920000000000003,0.24920000000000003,0.0979,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ARTICHOKE TOPS (JERUSALEM),0.27,0.0162,0.7746999999999999,0.6937,0.7774,0.34830000000000005,0.0029700000000000004,0.027000000000000003,0.004374000000000001,0.00029700000000000006,0.00378,0.081,0.081,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
AVOCADO SEED MEAL,0.91,0.18200000000000002,0.9841,0.6656,0.9932000000000001,0.3913,0.010920000000000001,0.1456,0.0,0.0,0.0,0.2184,0.2184,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
BAHIAGRASS HAY,0.9,0.387,1.0070000000000001,0.6920000000000001,1.0070000000000001,2.1870000000000003,0.016200000000000003,0.06300000000000001,0.004229999999999999,0.0018000000000000002,0.012599999999999998,0.369,0.369,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
BAKERY PRODUCT DRIED,0.9,0.369,1.746,1.512,1.8,0.378,0.10350000000000001,0.036000000000000004,0.00144,0.0024300000000000003,0.0036000000000000003,0.081,0.081,0.29700000000000004,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BANANAS,0.24,0.0096,1.0488,0.9863999999999999,1.0608,0.021599999999999998,0.00192,0.0072,7.199999999999999e-05,0.000264,0.0036,0.012,0.012,0.0192,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BARLEY HAY,0.9,0.081,1.083,0.7949999999999999,1.083,2.052,0.0189,0.07200000000000001,0.0027,0.0025200000000000005,0.014400000000000001,0.333,0.333,0.225,1.0,1.0,1.0,0.0,0.0,0.0,0.0
BARLEY SILAGE,0.35,0.119,0.7929999999999999,0.6809999999999999,0.7929999999999999,0.6649999999999999,0.010499999999999999,0.0315,0.0016099999999999999,0.00105,0.0084,0.1295,0.1295,0.098,1.0,1.0,1.0,0.0,0.0,0.0,0.0
BARLEY SILAGE MATURE,0.35,0.1295,0.7829999999999999,0.6709999999999999,0.7829999999999999,0.6124999999999999,0.01225,0.0315,0.00105,0.0007,0.0052499999999999995,0.119,0.119,0.0875,1.0,1.0,1.0,0.0,0.0,0.0,0.0
BARLEY STRAW,0.9,0.666,0.827,0.449,0.8360000000000001,2.475,0.0171,0.06300000000000001,0.00288,0.00072,0.0198,0.49500000000000005,0.49500000000000005,0.06300000000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BARLEY GRAIN,0.89,0.35600000000000004,1.6143,1.3829,1.6588,0.5874,0.018690000000000002,0.026699999999999998,0.000534,0.003382,0.00534,0.06230000000000001,0.06230000000000001,0.20470000000000002,0.0,0.0,0.0,0.0,1.0,0.0,1.0
"BARLEY GRAIN, STEAM FLAKED",0.85,0.4335,1.75,1.495,1.75,0.527,0.01785,0.0255,0.0005099999999999999,0.0029749999999999998,0.0051,0.059500000000000004,0.059500000000000004,0.1955,0.0,0.0,0.0,0.0,1.0,0.0,1.0
BARLEY GRAIN STEAM ROLLED,0.86,0.43,1.5882,1.3645999999999998,1.6312,0.5074,0.01806,0.0258,0.000516,0.0035259999999999996,0.00516,0.060200000000000004,0.060200000000000004,0.258,0.0,0.0,0.0,0.0,1.0,0.0,1.0
BARLEY GRAIN 2-ROW,0.87,0.10439999999999999,1.5969,1.3706999999999998,1.6404,0.6264,0.02001,0.0174,0.000435,0.0026969999999999997,0.00522,0.0696,0.0696,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
BARLEY GRAIN 6-ROW,0.87,0.0957,1.5969,1.3706999999999998,1.6404,0.6264,0.01914,0.026099999999999998,0.000435,0.003132,0.00522,0.0696,0.0696,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
BARLEY GRAIN LT. WT.  (42-44 LB/BU),0.88,0.3784,1.484,1.2552,1.5104,0.748,0.02024,0.0352,0.0,0.0,0.0,0.1056,0.1056,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
BARLEY FEED PEARL BYPRODUCT,0.9,0.36000000000000004,1.424,1.181,1.4420000000000002,0.24300000000000002,0.0351,0.045000000000000005,0.00045000000000000004,0.004050000000000001,0.006299999999999999,0.135,0.135,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
BARLEY BRAN,0.91,0.36400000000000005,1.1269,0.8448,1.1269,0.8190000000000001,0.03913,0.0637,0.0,0.0,0.0,0.24570000000000003,0.24570000000000003,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
BARLEY GRAIN SCREENINGS,0.89,0.10679999999999999,1.3597,1.1194,1.3685999999999998,0.17800000000000002,0.02314,0.0356,0.0031149999999999997,0.002937,0.008010000000000001,0.0979,0.0979,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
BEANS NAVY CULL,0.9,0.441,1.623,1.389,1.6680000000000001,0.29700000000000004,0.012599999999999998,0.045000000000000005,0.00135,0.0054,0.012599999999999998,0.07200000000000001,0.07200000000000001,0.405,0.0,0.0,0.0,1.0,1.0,0.0,1.0
BEET PULP WET,0.17,0.0748,0.9043,0.8601000000000001,0.9094,0.20400000000000001,0.0011899999999999999,0.0085,0.001105,0.00013600000000000003,0.0015300000000000003,0.0425,0.0425,0.0357,1.0,1.0,1.0,0.0,0.0,0.0,0.0
BEET PULP DRIED,0.91,0.48230000000000006,1.4698000000000002,1.2332,1.4971,1.1466,0.00637,0.045500000000000006,0.005915000000000001,0.000728,0.008190000000000001,0.2366,0.2366,0.1911,1.0,1.0,1.0,0.0,0.0,0.0,0.0
BEET PULP WET WITH  MOLASSES,0.24,0.08639999999999999,0.9596,0.8972,0.9668,0.2616,0.0014399999999999999,0.0144,0.0014399999999999999,0.00024,0.00432,0.05039999999999999,0.05039999999999999,0.0264,1.0,1.0,1.0,0.0,0.0,0.0,0.0
BEET PULP DRIED WITH MOLASSES,0.92,0.41400000000000003,1.4968000000000001,1.2576,1.5244,1.0395999999999999,0.005520000000000001,0.0552,0.005520000000000001,0.00092,0.016560000000000002,0.2116,0.2116,0.1012,1.0,1.0,1.0,0.0,0.0,0.0,0.0
BEET ROOT (SUGAR),0.23,0.0092,0.9909,0.9288000000000001,0.9978,0.06440000000000001,0.00092,0.0069,0.0,0.0,0.0,0.016100000000000003,0.016100000000000003,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
BEET TOPS (SUGAR),0.19,0.026600000000000002,0.6901999999999999,0.6294,0.6901999999999999,0.1729,0.0024700000000000004,0.0456,0.0020900000000000003,0.000418,0.009880000000000002,0.026600000000000002,0.026600000000000002,0.038000000000000006,1.0,1.0,1.0,0.0,0.0,0.0,0.0
BEET TOP SILAGE,0.25,0.03,0.6475,0.56,0.65,0.03,0.005,0.08,0.00345,0.00055,0.01425,0.0,0.0,0.05,1.0,1.0,1.0,0.0,0.0,0.0,0.0
BERMUDAGRASS COASTAL DEHYDRATED,0.9,0.5040000000000001,1.187,0.917,1.187,0.9450000000000001,0.0342,0.06300000000000001,0.0036000000000000003,0.0022500000000000003,0.016200000000000003,0.261,0.261,0.162,1.0,1.0,1.0,0.0,0.0,0.0,0.0
BERMUDAGRASS COASTAL HAY,0.89,0.267,1.0584000000000002,0.7647,1.0584000000000002,2.1093,0.018690000000000002,0.053399999999999996,0.004182999999999999,0.001869,0.013349999999999999,0.3204,0.3204,0.1424,1.0,1.0,1.0,0.0,0.0,0.0,0.0
BERMUDAGRASS HAY,0.89,0.24920000000000003,1.0017,0.6902,1.0017,2.1004,0.01691,0.0712,0.004094,0.0017800000000000001,0.013349999999999999,0.3293,0.3293,0.2759,1.0,1.0,1.0,0.0,0.0,0.0,0.0
BERMUDAGRASS SILAGE,0.26,0.065,0.6274,0.5312,0.63,0.4732,0.00494,0.020800000000000003,0.001196,0.0005200000000000001,0.0039,0.091,0.091,0.0806,1.0,1.0,1.0,0.0,0.0,0.0,0.0
BIRDSFOOT TREFOIL FRESH,0.22,0.09019999999999999,0.8074,0.7436,0.8096000000000001,0.308,0.009680000000000001,0.019799999999999998,0.003916,0.00055,0.00572,0.0682,0.0682,0.0682,1.0,1.0,1.0,0.0,0.0,0.0,0.0
BIRDSFOOT TREFOIL HAY,0.89,0.3382,1.0773,0.7925,1.0773,1.8779,0.019580000000000004,0.0712,0.015397,0.002136,0.016020000000000003,0.3382,0.3382,0.24920000000000003,1.0,1.0,1.0,0.0,0.0,0.0,0.0
"BLOOD MEAL, SWINE/POULTRY",0.91,1.5834000000000001,1.2697,1.0058,1.2788,0.1183,0.01274,0.0273,0.002912,0.0025480000000000004,0.00182,0.0182,0.0182,0.20020000000000002,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BLUEGRASS KY FRESH EARLY BLOOM,0.36,0.126,0.942,0.8448,0.9456,0.576,0.014039999999999999,0.0252,0.001332,0.00108,0.00684,0.1152,0.1152,0.09,1.0,1.0,1.0,0.0,0.0,0.0,0.0
BLUEGRASS STRAW,0.93,0.0558,0.8592,0.4779,0.8685,2.3994,0.010230000000000001,0.0558,0.00186,0.00093,0.0,0.465,0.465,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
BLUESTEM FRESH MATURE,0.61,0.0366,0.7988999999999999,0.5732,0.8049999999999999,0.2074,0.01525,0.0305,0.00244,0.0007319999999999999,0.00488,0.0,0.0,0.1708,1.0,1.0,1.0,0.0,0.0,0.0,0.0
"BONE MEAL STEAMED,  SWINE/POULTRY",0.95,0.1235,0.2645,0.16,0.4165,0.0095,0.11019999999999999,0.7314999999999999,0.2565,0.12103000000000001,0.0019,0.0,0.0,2.755,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BREAD BYPRODUCT,0.68,0.2584,1.5392000000000001,1.3624,1.58,0.0408,0.0204,0.0204,0.00068,0.001224,0.00136,0.013600000000000001,0.013600000000000001,0.272,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BREWERS GRAINS WET,0.23,0.1794,1.0524,0.9925999999999999,1.0639,0.2231,0.01725,0.0092,0.0006900000000000001,0.001334,0.00023,0.0483,0.0483,0.1794,1.0,1.0,1.0,0.0,0.0,0.0,0.0
BREWERS GRAINS DRIED,0.92,0.7268000000000001,1.6404,1.4012,1.6864,0.9660000000000001,0.069,0.0368,0.0027600000000000003,0.005336,0.00092,0.2208,0.2208,0.7176,1.0,1.0,1.0,0.0,0.0,0.0,0.0
BREWERS YEAST DRIED,0.94,0.45119999999999993,1.5514000000000001,1.307,1.589,0.028199999999999996,0.0094,0.0658,0.00094,0.014664,0.01692,0.0,0.0,0.38539999999999996,1.0,1.0,1.0,0.0,0.0,0.0,0.0
BROMEGRASS FRESH  IMMATURE,0.3,0.111,0.835,0.748,0.835,0.46499999999999997,0.012299999999999998,0.03,0.00135,0.00102,0.0069,0.099,0.099,0.06,1.0,1.0,1.0,0.0,0.0,0.0,0.0
BROMEGRASS HAY,0.89,0.3827,1.0395,0.7369,1.0395,2.136,0.02047,0.0801,0.0035600000000000002,0.002047,0.01691,0.3649,0.3649,0.1691,1.0,1.0,1.0,0.0,0.0,0.0,0.0
BROMEGRASS HAYLAGE,0.35,0.1295,0.7695,0.6575,0.7695,0.735,0.008749999999999999,0.027999999999999997,0.00133,0.00105,0.006999999999999999,0.154,0.154,0.06649999999999999,1.0,1.0,1.0,0.0,0.0,0.0,0.0
BUCKWHEAT GRAIN,0.88,0.1056,1.4276,1.19,1.4452,0.264,0.02464,0.0176,0.0009680000000000001,0.003168,0.0044,0.1496,0.1496,0.08800000000000001,0.0,0.0,0.0,1.0,1.0,0.0,1.0
BUTTERMILK DRIED,0.92,0.3128,1.7172,1.4780000000000002,1.7816,0.046000000000000006,0.046000000000000006,0.09200000000000001,0.013248,0.0092,0.008280000000000001,0.0,0.0,0.4048,0.0,0.0,0.0,1.0,1.0,0.0,1.0
"CACTUS, PRICKLY PEAR",0.23,0.011500000000000002,0.7525999999999999,0.6813,0.7525999999999999,0.1472,0.00483,0.0414,0.0092,0.00023,0.00345,0.046000000000000006,0.046000000000000006,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
CANARYGRASS HAY,0.91,0.3185,1.0123000000000002,0.6938,1.0123000000000002,2.1021,0.024570000000000005,0.0728,0.003458,0.002275,0.024570000000000005,0.3094,0.3094,0.1638,1.0,1.0,1.0,0.0,0.0,0.0,0.0
"CANOLA MEAL, SOLV. EXT.",0.9,0.639,1.3860000000000001,1.143,1.395,0.738,0.018000000000000002,0.07200000000000001,0.00666,0.010259999999999998,0.0099,0.171,0.171,0.6120000000000001,1.0,0.0,0.0,0.0,0.0,1.0,1.0
CARROT PULP,0.14,0.008400000000000001,0.7082,0.6662,0.7082,0.1148,0.010920000000000001,0.0126,0.0,0.0,0.0,0.032200000000000006,0.032200000000000006,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
CARROT ROOT FRESH,0.12,0.012,0.9331999999999999,0.9019999999999999,0.938,0.048,0.0016799999999999999,0.012,0.00066,0.000384,0.003,0.0132,0.0132,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
CARROT TOPS,0.16,0.020800000000000003,0.85,0.8068,0.8532,0.20320000000000002,0.00608,0.024,0.003104,0.000304,0.00304,0.0368,0.0368,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
CATTLE MANURE DRIED,0.92,0.138,0.7112,0.38,0.748,1.2144000000000001,0.023000000000000003,0.12880000000000003,0.01058,0.011040000000000001,0.005520000000000001,0.3864,0.3864,2.208,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEATGRASS FRESH IMMATURE,0.21,0.0336,0.8249,0.7661,0.8270000000000001,0.0483,0.0056700000000000006,0.021,0.00126,0.0005880000000000001,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
CITRUS PULP DRIED,0.9,0.405,1.5,1.266,1.5270000000000001,0.783,0.026099999999999998,0.06300000000000001,0.016290000000000002,0.00108,0.007200000000000001,0.18000000000000002,0.18000000000000002,0.12600000000000003,1.0,0.0,0.0,0.0,1.0,0.0,0.0
CLOVER LADINO FRESH,0.19,0.0855,0.823,0.7716999999999999,0.8249,0.2337,0.00912,0.020900000000000002,0.0024129999999999998,0.000722,0.00456,0.0627,0.0627,0.038000000000000006,1.0,1.0,1.0,0.0,0.0,0.0,0.0
CLOVER LADINO HAY,0.9,0.41400000000000003,1.159,0.889,1.1680000000000001,1.6380000000000001,0.018000000000000002,0.081,0.012150000000000001,0.00288,0.0216,0.28800000000000003,0.28800000000000003,0.15300000000000002,1.0,1.0,1.0,0.0,1.0,0.0,0.0
CLOVER RED FRESH,0.24,0.0936,0.796,0.7264,0.796,0.3408,0.0096,0.021599999999999998,0.00408,0.0007199999999999999,0.0048,0.0792,0.0792,0.0552,1.0,1.0,1.0,0.0,0.0,0.0,0.0
CLOVER RED HAY,0.88,0.3784,1.034,0.7348,1.034,1.8656000000000001,0.022000000000000002,0.0704,0.0132,0.0022,0.014960000000000001,0.3432,0.3432,0.1496,1.0,1.0,1.0,0.0,0.0,0.0,0.0
CLOVER SWEET HAY,0.91,0.4186,1.0123000000000002,0.6938,1.0123000000000002,1.9110000000000003,0.021840000000000002,0.0819,0.011557,0.002275,0.016380000000000002,0.3458,0.3458,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
"COCONUT MEAL, MECH. EXT.",0.92,0.7084,1.4776,1.2384,1.5052,1.0395999999999999,0.06256,0.06440000000000001,0.00368,0.0027600000000000003,0.0092,0.1932,0.1932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
COFFEE GROUNDS,0.88,0.1144,0.3408,0.2,0.5167999999999999,1.7247999999999999,0.132,0.0176,0.00088,0.0007040000000000001,0.0,0.5984,0.5984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CORN WHOLE PLANT PELLETED,0.91,0.49140000000000006,1.2124000000000001,0.9394,1.2124000000000001,0.8281000000000001,0.021840000000000002,0.0546,0.00455,0.0021839999999999997,0.008190000000000001,0.2184,0.2184,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
CORN FODDER,0.8,0.43200000000000005,1.178,0.946,1.178,1.616,0.019200000000000002,0.05600000000000001,0.004,0.002,0.0072000000000000015,0.23199999999999998,0.23199999999999998,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CORN STOVER MATURE (STALKS),0.8,0.27999999999999997,0.9720000000000001,0.7000000000000001,0.9720000000000001,1.984,0.010400000000000001,0.05600000000000001,0.0036000000000000008,0.0012000000000000001,0.009600000000000001,0.34400000000000003,0.34400000000000003,0.17600000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CORN SILAGE MILK STAGE,0.26,0.06760000000000001,0.8216,0.7462,0.8216,0.4472,0.007279999999999999,0.0156,0.0010400000000000001,0.000702,0.0041600000000000005,0.08320000000000001,0.08320000000000001,0.052000000000000005,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CORN SILAGE MATURE WELL EARED,0.34,0.12240000000000001,0.9716,0.8797999999999999,0.975,0.5576,0.01054,0.017,0.0009520000000000002,0.000782,0.0037400000000000007,0.0918,0.0918,0.0748,1.0,1.0,1.0,0.0,0.0,0.0,0.0
CORN SILAGE SWEET CORN,0.24,0.0264,0.8084,0.7388,0.8084,0.40559999999999996,0.012,0.012,0.0005759999999999999,0.000624,0.0028799999999999997,0.0768,0.0768,0.0936,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CORN GRAIN WHOLE,0.88,0.5896,1.6808,1.452,1.7424,0.6512,0.03784,0.0176,0.00017600000000000002,0.00264,0.00352,0.0264,0.0264,0.15839999999999999,1.0,0.0,0.0,0.0,0.0,0.0,1.0
CORN GRAIN ROLLED,0.88,0.5544,1.6808,1.452,1.7424,0.4224,0.03784,0.0176,0.00017600000000000002,0.00264,0.00352,0.0264,0.0264,0.15839999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"CORN GRAIN, STEAM FLAKED",0.85,0.5780000000000001,1.7545000000000002,1.5335,1.814,0.459,0.03484999999999999,0.017,0.00017,0.002295,0.0034,0.0255,0.0255,0.153,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CORN GRAIN HIGH MOISTURE,0.74,0.38480000000000003,1.6478000000000002,1.4554,1.6996000000000002,0.10360000000000001,0.0296,0.0148,0.000148,0.00222,0.00296,0.022199999999999998,0.022199999999999998,0.148,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"CORN GRAIN, HIGH OIL",0.88,0.5456,1.746,1.5171999999999999,1.8076,0.6424,0.06072,0.0176,8.800000000000001e-05,0.00264,0.00264,0.0264,0.0264,0.15839999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CORN GRAIN HI-LYSINE,0.92,0.644,1.698,1.4588,1.7532,0.7268000000000001,0.04048000000000001,0.0184,0.000276,0.002208,0.00368,0.0368,0.0368,0.1656,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CORN AND COB MEAL,0.87,0.5307,1.5594999999999999,1.3333,1.5943,0.8874,0.03219,0.0174,0.000522,0.002349,0.00435,0.0957,0.0957,0.1392,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CORN COBS,0.9,0.657,0.903,0.5609999999999999,0.9119999999999999,1.971,0.0054,0.018000000000000002,0.00108,0.00036,0.007200000000000001,0.35100000000000003,0.35100000000000003,0.045000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CORN SCREENINGS,0.86,0.5332,1.7269999999999999,1.5034,1.7872,0.3096,0.03698,0.0172,0.000344,0.0023220000000000003,0.00344,0.0344,0.0344,0.1376,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CORN BRAN,0.91,0.10010000000000001,1.4698000000000002,1.2332,1.4971,0.7098000000000001,0.05733,0.0273,0.000364,0.0013650000000000001,0.00091,0.1547,0.1547,0.1638,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"CORN GERM, FULL-FAT",0.97,0.6499,3.2706,2.902,3.2706,0.7081,0.43553,0.0194,0.000194,0.0027160000000000005,0.0009699999999999999,0.1067,0.1067,0.582,1.0,0.0,0.0,0.0,0.0,0.0,1.0
CORN GLUTEN FEED,0.9,0.423,1.5470000000000002,1.3040000000000003,1.574,0.855,0.028800000000000003,0.06300000000000001,0.00099,0.00756,0.011700000000000002,0.108,0.108,0.756,1.0,1.0,1.0,0.0,0.0,0.0,0.0
CORN GLUTEN MEAL 41% CP,0.91,0.9919000000000001,1.6508,1.4142000000000001,1.6963,0.6279,0.02912,0.0273,0.001183,0.005005000000000001,0.00182,0.0819,0.0819,0.3185,0.0,0.0,0.0,0.0,0.0,1.0,1.0
CORN GLUTEN MEAL 60% CP,0.91,1.2012,1.7363,1.4997,1.7909000000000002,0.3913,0.022750000000000003,0.0182,0.0005459999999999999,0.004914000000000001,0.00182,0.0546,0.0546,0.36400000000000005,0.0,0.0,0.0,0.0,0.0,1.0,1.0
CORN CANNERY WASTE,0.29,0.0667,0.8801,0.7989,0.883,0.35669999999999996,0.0087,0.014499999999999999,0.00029,0.0008409999999999998,0.0029,0.10439999999999999,0.10439999999999999,0.0725,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"COTTONSEED, WHOLE",0.91,0.5551,1.8509,1.6143,1.9237000000000002,1.9201,0.17653999999999997,0.045500000000000006,0.001456,0.005824,0.0091,0.3367,0.3367,0.3094,1.0,1.0,1.0,0.0,0.0,0.0,0.0
"COTTONSEED, WHOLE, DELINTED",0.9,0.5670000000000001,1.841,1.607,1.913,1.683,0.20609999999999998,0.045000000000000005,0.00108,0.004860000000000001,0.0108,0.25200000000000006,0.25200000000000006,0.324,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"COTTONSEED, WHOLE, EXTRUDED",0.92,0.6992,1.7072,1.4864000000000002,1.7716,1.4904000000000002,0.0874,0.046000000000000006,0.0015640000000000003,0.006256000000000001,0.011960000000000002,0.4048,0.4048,0.3496,1.0,1.0,1.0,1.0,1.0,1.0,1.0
COTTON GIN TRASH (BURRS),0.91,0.0819,0.784,0.42,0.8112999999999999,2.3205,0.0182,0.1274,0.01274,0.001638,0.01729,0.455,0.455,0.2275,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COTTONSEED HULLS,0.9,0.45,0.8460000000000001,0.47700000000000004,0.855,2.745,0.016200000000000003,0.027,0.00135,0.00072,0.009000000000000001,0.63,0.63,0.09000000000000001,1.0,1.0,1.0,0.0,0.0,0.0,0.0
"COTTONSEED MEAL, SOLV. EXT. 41% CP",0.9,0.801,1.481,1.247,1.508,0.7110000000000001,0.0135,0.06300000000000001,0.00198,0.01107,0.014400000000000001,0.162,0.162,0.5940000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"COTTONSEED MEAL, MECH.  EXT. 41% CP",0.92,0.8832,1.5352000000000001,1.2960000000000003,1.572,0.7912,0.046000000000000006,0.06440000000000001,0.001932,0.010856000000000001,0.01472,0.1748,0.1748,0.5888,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CRAB WASTE MEAL,0.91,0.8827,0.563,0.29,0.6267,0.2184,0.0273,0.3913,0.1365,0.017107999999999998,0.00455,0.1183,0.1183,0.9737000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CRAMBE MEAL, SOLV. EXT.",0.91,0.6916,1.5744,1.3378,1.6108000000000002,1.183,0.01274,0.0728,0.011557,0.007826,0.010010000000000002,0.3185,0.3185,0.40040000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CRAMBE MEAL, MECH. EXT.",0.92,0.7176,1.7172,1.4780000000000002,1.7816,1.1408,0.1564,0.06440000000000001,0.011224,0.007176000000000001,0.0092,0.30360000000000004,0.30360000000000004,0.3772,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRANBERRY PULP MEAL,0.88,0.06160000000000001,0.9124,0.5868,0.9212,1.4080000000000001,0.13816,0.0176,0.0,0.0,0.0,0.41359999999999997,0.41359999999999997,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CRAWFISH WASTE MEAL,0.94,1.0246,0.5226,0.25,0.5884,0.2538,0.0,0.3948,0.12314,0.00799,0.0,0.141,0.141,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"DISTILLERS GRAINS, WET",0.25,0.2,1.135,1.07,1.15,0.175,0.024,0.0125,0.00025,0.0017499999999999998,0.0025,0.045,0.045,0.2375,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"DISTILLERS GRAIN, BARLEY",0.9,0.774,1.443,1.2,1.461,0.756,0.07650000000000001,0.036000000000000004,0.00135,0.006030000000000001,0.009000000000000001,0.18000000000000002,0.18000000000000002,0.45,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"DISTILLERS GRAIN, CORN, DRY",0.91,0.7917000000000001,1.9455,1.6724999999999999,2.0183,0.6097,0.09100000000000001,0.045500000000000006,0.000819,0.006825,0.008190000000000001,0.1456,0.1456,0.5915,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"DISTILLERS GRAIN, CORN, WET",0.36,0.29879999999999995,1.3988,1.2872,1.424,0.2412,0.036,0.018,0.00032399999999999996,0.0026999999999999997,0.0032400000000000003,0.0576,0.0576,0.23399999999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"DISTILLERS GRAIN, CORN WITH SOLUBLES",0.89,0.7209000000000001,1.8967,1.6564,1.9679000000000002,0.5874,0.10591,0.053399999999999996,0.0008900000000000001,0.007476,0.008010000000000001,0.1424,0.1424,0.7565,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DISTILLERS DRIED SOLUBLES,0.93,0.2697,1.707,1.4652,1.7628,0.3441,0.12090000000000001,0.07440000000000001,0.0032549999999999996,0.011160000000000002,0.01674,0.0651,0.0651,0.8463,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DISTILLERS CORN STILLAGE,0.07,0.0539,0.9872000000000001,0.9690000000000001,0.9921000000000001,0.027300000000000005,0.0056700000000000006,0.0035000000000000005,9.800000000000002e-05,0.000504,0.00014000000000000001,0.007000000000000001,0.007000000000000001,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"DISTILLERS GRAIN, SORGHUM, DRY",0.91,0.8644999999999999,1.6317,1.3951,1.6772,0.7371000000000001,0.09100000000000001,0.0364,0.00182,0.006188000000000001,0.0027300000000000002,0.18200000000000002,0.18200000000000002,0.455,1.0,1.0,1.0,0.0,0.0,0.0,0.0
